sample_id,machine_id,image_path,audio_path,temperature_c,vibration_rms_g,rotational_speed_rpm,motor_current_a,hydraulic_pressure_bar,load_percentage,technician_notes,fault_label
machine_asset_01_event_024,machine_asset_01,data\multimodal\images\machine_asset_01_event_024.png,data\multimodal\audio\machine_asset_01_event_024.wav,52.81,1.165,1512.9,10.49,136.93,60.7,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_000,machine_asset_02,data\multimodal\images\machine_asset_02_event_000.png,data\multimodal\audio\machine_asset_02_event_000.wav,54.64,10.679,1442.2,10.43,145.0,60.9,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_02_event_001,machine_asset_02,data\multimodal\images\machine_asset_02_event_001.png,data\multimodal\audio\machine_asset_02_event_001.wav,50.13,1.51,1489.1,9.94,134.17,78.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_002,machine_asset_02,data\multimodal\images\machine_asset_02_event_002.png,data\multimodal\audio\machine_asset_02_event_002.wav,58.41,10.606,1400.8,10.69,137.9,62.1,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_02_event_003,machine_asset_02,data\multimodal\images\machine_asset_02_event_003.png,data\multimodal\audio\machine_asset_02_event_003.wav,48.64,6.659,1479.5,10.62,140.75,66.9,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_02_event_004,machine_asset_02,data\multimodal\images\machine_asset_02_event_004.png,data\multimodal\audio\machine_asset_02_event_004.wav,57.65,1.712,1498.4,10.72,37.27,74.0,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_02_event_005,machine_asset_02,data\multimodal\images\machine_asset_02_event_005.png,data\multimodal\audio\machine_asset_02_event_005.wav,58.81,1.907,1483.8,9.81,33.41,75.3,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_02_event_006,machine_asset_02,data\multimodal\images\machine_asset_02_event_006.png,data\multimodal\audio\machine_asset_02_event_006.wav,54.18,8.011,1491.7,9.9,130.8,61.3,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_02_event_007,machine_asset_02,data\multimodal\images\machine_asset_02_event_007.png,data\multimodal\audio\machine_asset_02_event_007.wav,103.72,5.171,1492.8,10.28,146.35,67.0,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_02_event_008,machine_asset_02,data\multimodal\images\machine_asset_02_event_008.png,data\multimodal\audio\machine_asset_02_event_008.wav,52.91,1.749,1482.7,10.68,141.45,73.9,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_009,machine_asset_02,data\multimodal\images\machine_asset_02_event_009.png,data\multimodal\audio\machine_asset_02_event_009.wav,53.41,1.732,1496.9,9.74,132.91,64.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_010,machine_asset_02,data\multimodal\images\machine_asset_02_event_010.png,data\multimodal\audio\machine_asset_02_event_010.wav,54.79,1.369,1482.5,9.84,143.5,67.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_011,machine_asset_02,data\multimodal\images\machine_asset_02_event_011.png,data\multimodal\audio\machine_asset_02_event_011.wav,58.1,7.888,1476.6,11.29,126.68,76.3,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_02_event_012,machine_asset_02,data\multimodal\images\machine_asset_02_event_012.png,data\multimodal\audio\machine_asset_02_event_012.wav,52.75,8.501,1495.0,9.57,141.9,68.8,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_02_event_013,machine_asset_02,data\multimodal\images\machine_asset_02_event_013.png,data\multimodal\audio\machine_asset_02_event_013.wav,51.89,2.02,1507.1,10.17,48.89,71.3,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_02_event_014,machine_asset_02,data\multimodal\images\machine_asset_02_event_014.png,data\multimodal\audio\machine_asset_02_event_014.wav,61.8,1.839,1502.7,11.2,132.38,74.8,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_015,machine_asset_02,data\multimodal\images\machine_asset_02_event_015.png,data\multimodal\audio\machine_asset_02_event_015.wav,52.54,1.837,1499.0,10.01,136.72,67.6,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_016,machine_asset_02,data\multimodal\images\machine_asset_02_event_016.png,data\multimodal\audio\machine_asset_02_event_016.wav,58.53,1.401,1492.4,10.11,148.17,67.0,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_017,machine_asset_02,data\multimodal\images\machine_asset_02_event_017.png,data\multimodal\audio\machine_asset_02_event_017.wav,90.59,6.038,1493.6,10.37,136.02,72.2,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_02_event_018,machine_asset_02,data\multimodal\images\machine_asset_02_event_018.png,data\multimodal\audio\machine_asset_02_event_018.wav,54.33,1.6,1514.5,11.31,146.23,71.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_02_event_019,machine_asset_02,data\multimodal\images\machine_asset_02_event_019.png,data\multimodal\audio\machine_asset_02_event_019.wav,53.8,1.735,1488.3,9.69,41.84,72.7,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_02_event_020,machine_asset_02,data\multimodal\images\machine_asset_02_event_020.png,data\multimodal\audio\machine_asset_02_event_020.wav,101.84,5.174,1496.1,10.49,143.56,72.8,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_02_event_021,machine_asset_02,data\multimodal\images\machine_asset_02_event_021.png,data\multimodal\audio\machine_asset_02_event_021.wav,94.82,5.033,1519.7,9.03,147.9,67.4,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_02_event_022,machine_asset_02,data\multimodal\images\machine_asset_02_event_022.png,data\multimodal\audio\machine_asset_02_event_022.wav,52.93,1.847,1485.7,9.96,52.06,63.4,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_02_event_023,machine_asset_02,data\multimodal\images\machine_asset_02_event_023.png,data\multimodal\audio\machine_asset_02_event_023.wav,51.12,1.579,1493.4,10.39,43.91,78.4,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_02_event_024,machine_asset_02,data\multimodal\images\machine_asset_02_event_024.png,data\multimodal\audio\machine_asset_02_event_024.wav,57.2,1.84,1495.9,10.99,140.71,70.7,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_03_event_000,machine_asset_03,data\multimodal\images\machine_asset_03_event_000.png,data\multimodal\audio\machine_asset_03_event_000.wav,95.61,4.651,1485.9,9.94,141.69,81.1,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_03_event_001,machine_asset_03,data\multimodal\images\machine_asset_03_event_001.png,data\multimodal\audio\machine_asset_03_event_001.wav,54.9,1.788,1486.4,10.34,147.54,76.7,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_03_event_002,machine_asset_03,data\multimodal\images\machine_asset_03_event_002.png,data\multimodal\audio\machine_asset_03_event_002.wav,54.1,8.911,1442.6,10.7,134.72,72.3,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_03_event_003,machine_asset_03,data\multimodal\images\machine_asset_03_event_003.png,data\multimodal\audio\machine_asset_03_event_003.wav,56.51,6.265,1494.8,10.39,141.4,68.3,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_03_event_004,machine_asset_03,data\multimodal\images\machine_asset_03_event_004.png,data\multimodal\audio\machine_asset_03_event_004.wav,49.9,1.886,1484.4,10.62,49.63,63.1,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_03_event_005,machine_asset_03,data\multimodal\images\machine_asset_03_event_005.png,data\multimodal\audio\machine_asset_03_event_005.wav,96.71,5.059,1498.6,9.82,137.48,67.4,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_03_event_006,machine_asset_03,data\multimodal\images\machine_asset_03_event_006.png,data\multimodal\audio\machine_asset_03_event_006.wav,55.79,1.673,1507.9,9.18,52.6,73.4,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_03_event_007,machine_asset_03,data\multimodal\images\machine_asset_03_event_007.png,data\multimodal\audio\machine_asset_03_event_007.wav,101.6,6.283,1496.2,10.63,135.48,72.3,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_03_event_008,machine_asset_03,data\multimodal\images\machine_asset_03_event_008.png,data\multimodal\audio\machine_asset_03_event_008.wav,51.33,9.951,1423.3,9.66,138.79,65.3,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_03_event_009,machine_asset_03,data\multimodal\images\machine_asset_03_event_009.png,data\multimodal\audio\machine_asset_03_event_009.wav,98.27,6.046,1508.9,9.94,139.85,61.8,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_03_event_010,machine_asset_03,data\multimodal\images\machine_asset_03_event_010.png,data\multimodal\audio\machine_asset_03_event_010.wav,55.3,1.747,1498.7,9.0,49.05,65.1,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_03_event_011,machine_asset_03,data\multimodal\images\machine_asset_03_event_011.png,data\multimodal\audio\machine_asset_03_event_011.wav,52.59,1.692,1491.8,8.97,44.53,73.4,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_03_event_012,machine_asset_03,data\multimodal\images\machine_asset_03_event_012.png,data\multimodal\audio\machine_asset_03_event_012.wav,102.5,4.609,1490.4,9.99,143.16,67.0,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_03_event_013,machine_asset_03,data\multimodal\images\machine_asset_03_event_013.png,data\multimodal\audio\machine_asset_03_event_013.wav,47.27,6.833,1500.3,8.8,142.45,64.7,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_03_event_014,machine_asset_03,data\multimodal\images\machine_asset_03_event_014.png,data\multimodal\audio\machine_asset_03_event_014.wav,52.82,9.303,1484.9,10.4,144.88,71.8,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_03_event_015,machine_asset_03,data\multimodal\images\machine_asset_03_event_015.png,data\multimodal\audio\machine_asset_03_event_015.wav,55.9,7.002,1492.0,10.45,136.02,63.0,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_03_event_016,machine_asset_03,data\multimodal\images\machine_asset_03_event_016.png,data\multimodal\audio\machine_asset_03_event_016.wav,57.8,1.683,1508.7,9.31,137.5,70.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_03_event_017,machine_asset_03,data\multimodal\images\machine_asset_03_event_017.png,data\multimodal\audio\machine_asset_03_event_017.wav,54.61,8.114,1503.4,8.64,134.23,74.8,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_03_event_018,machine_asset_03,data\multimodal\images\machine_asset_03_event_018.png,data\multimodal\audio\machine_asset_03_event_018.wav,53.67,1.908,1485.1,10.57,135.44,67.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_03_event_019,machine_asset_03,data\multimodal\images\machine_asset_03_event_019.png,data\multimodal\audio\machine_asset_03_event_019.wav,56.38,1.693,1501.9,9.7,141.33,71.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_03_event_020,machine_asset_03,data\multimodal\images\machine_asset_03_event_020.png,data\multimodal\audio\machine_asset_03_event_020.wav,56.48,11.003,1406.9,10.81,149.42,68.2,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_03_event_021,machine_asset_03,data\multimodal\images\machine_asset_03_event_021.png,data\multimodal\audio\machine_asset_03_event_021.wav,57.26,10.087,1424.8,10.26,136.86,67.3,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_03_event_022,machine_asset_03,data\multimodal\images\machine_asset_03_event_022.png,data\multimodal\audio\machine_asset_03_event_022.wav,96.35,5.375,1514.1,10.26,139.53,65.7,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_03_event_023,machine_asset_03,data\multimodal\images\machine_asset_03_event_023.png,data\multimodal\audio\machine_asset_03_event_023.wav,95.79,4.309,1492.4,10.89,145.14,68.8,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_03_event_024,machine_asset_03,data\multimodal\images\machine_asset_03_event_024.png,data\multimodal\audio\machine_asset_03_event_024.wav,53.76,1.473,1493.1,9.8,130.98,75.4,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_000,machine_asset_04,data\multimodal\images\machine_asset_04_event_000.png,data\multimodal\audio\machine_asset_04_event_000.wav,53.41,2.26,1493.2,9.93,143.08,66.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_001,machine_asset_04,data\multimodal\images\machine_asset_04_event_001.png,data\multimodal\audio\machine_asset_04_event_001.wav,52.81,6.849,1497.9,10.48,144.53,69.4,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_04_event_002,machine_asset_04,data\multimodal\images\machine_asset_04_event_002.png,data\multimodal\audio\machine_asset_04_event_002.wav,56.6,1.753,1483.9,9.96,137.91,73.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_003,machine_asset_04,data\multimodal\images\machine_asset_04_event_003.png,data\multimodal\audio\machine_asset_04_event_003.wav,53.6,2.035,1506.9,10.45,139.67,62.6,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_004,machine_asset_04,data\multimodal\images\machine_asset_04_event_004.png,data\multimodal\audio\machine_asset_04_event_004.wav,56.61,1.642,1483.1,9.74,133.86,70.6,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_005,machine_asset_04,data\multimodal\images\machine_asset_04_event_005.png,data\multimodal\audio\machine_asset_04_event_005.wav,94.39,6.033,1503.2,11.56,131.76,68.0,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_04_event_006,machine_asset_04,data\multimodal\images\machine_asset_04_event_006.png,data\multimodal\audio\machine_asset_04_event_006.wav,60.39,8.581,1459.9,10.65,147.9,75.4,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_04_event_007,machine_asset_04,data\multimodal\images\machine_asset_04_event_007.png,data\multimodal\audio\machine_asset_04_event_007.wav,56.16,2.006,1500.9,10.01,143.23,73.4,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_008,machine_asset_04,data\multimodal\images\machine_asset_04_event_008.png,data\multimodal\audio\machine_asset_04_event_008.wav,59.21,1.585,1486.1,10.22,134.24,70.6,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_009,machine_asset_04,data\multimodal\images\machine_asset_04_event_009.png,data\multimodal\audio\machine_asset_04_event_009.wav,55.68,7.907,1499.1,9.91,144.29,71.1,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_04_event_010,machine_asset_04,data\multimodal\images\machine_asset_04_event_010.png,data\multimodal\audio\machine_asset_04_event_010.wav,52.9,6.72,1497.5,9.82,147.24,71.0,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_04_event_011,machine_asset_04,data\multimodal\images\machine_asset_04_event_011.png,data\multimodal\audio\machine_asset_04_event_011.wav,61.28,1.995,1508.1,9.8,43.04,61.8,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_04_event_012,machine_asset_04,data\multimodal\images\machine_asset_04_event_012.png,data\multimodal\audio\machine_asset_04_event_012.wav,53.86,1.397,1488.0,9.8,54.27,73.0,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_04_event_013,machine_asset_04,data\multimodal\images\machine_asset_04_event_013.png,data\multimodal\audio\machine_asset_04_event_013.wav,57.18,9.848,1431.4,9.64,137.68,78.2,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_04_event_014,machine_asset_04,data\multimodal\images\machine_asset_04_event_014.png,data\multimodal\audio\machine_asset_04_event_014.wav,58.82,9.374,1503.4,8.91,149.76,72.9,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_04_event_015,machine_asset_04,data\multimodal\images\machine_asset_04_event_015.png,data\multimodal\audio\machine_asset_04_event_015.wav,52.54,1.836,1483.6,10.27,141.72,67.4,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_016,machine_asset_04,data\multimodal\images\machine_asset_04_event_016.png,data\multimodal\audio\machine_asset_04_event_016.wav,48.58,1.843,1497.2,8.81,39.07,72.0,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_04_event_017,machine_asset_04,data\multimodal\images\machine_asset_04_event_017.png,data\multimodal\audio\machine_asset_04_event_017.wav,96.79,6.029,1493.8,10.58,141.51,74.8,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_04_event_018,machine_asset_04,data\multimodal\images\machine_asset_04_event_018.png,data\multimodal\audio\machine_asset_04_event_018.wav,54.08,6.44,1484.9,11.51,135.65,69.1,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_04_event_019,machine_asset_04,data\multimodal\images\machine_asset_04_event_019.png,data\multimodal\audio\machine_asset_04_event_019.wav,57.88,1.948,1496.8,10.99,56.59,71.8,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_04_event_020,machine_asset_04,data\multimodal\images\machine_asset_04_event_020.png,data\multimodal\audio\machine_asset_04_event_020.wav,57.68,1.153,1507.9,10.08,137.21,74.8,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_021,machine_asset_04,data\multimodal\images\machine_asset_04_event_021.png,data\multimodal\audio\machine_asset_04_event_021.wav,54.75,2.399,1499.8,10.33,136.11,69.5,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_04_event_022,machine_asset_04,data\multimodal\images\machine_asset_04_event_022.png,data\multimodal\audio\machine_asset_04_event_022.wav,101.49,6.084,1497.8,9.19,142.47,64.0,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_04_event_023,machine_asset_04,data\multimodal\images\machine_asset_04_event_023.png,data\multimodal\audio\machine_asset_04_event_023.wav,54.4,6.549,1500.9,9.86,143.69,73.1,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_04_event_024,machine_asset_04,data\multimodal\images\machine_asset_04_event_024.png,data\multimodal\audio\machine_asset_04_event_024.wav,90.06,6.25,1458.5,10.15,139.75,66.9,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_05_event_000,machine_asset_05,data\multimodal\images\machine_asset_05_event_000.png,data\multimodal\audio\machine_asset_05_event_000.wav,53.58,9.955,1390.8,10.48,134.21,70.8,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_05_event_001,machine_asset_05,data\multimodal\images\machine_asset_05_event_001.png,data\multimodal\audio\machine_asset_05_event_001.wav,52.23,9.334,1485.5,11.46,142.67,66.3,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_05_event_002,machine_asset_05,data\multimodal\images\machine_asset_05_event_002.png,data\multimodal\audio\machine_asset_05_event_002.wav,54.05,1.862,1474.7,10.69,142.61,67.5,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_05_event_003,machine_asset_05,data\multimodal\images\machine_asset_05_event_003.png,data\multimodal\audio\machine_asset_05_event_003.wav,53.52,11.505,1388.8,9.11,134.23,71.6,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_05_event_004,machine_asset_05,data\multimodal\images\machine_asset_05_event_004.png,data\multimodal\audio\machine_asset_05_event_004.wav,55.32,10.744,1387.7,9.37,140.09,74.1,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
